iter	Passed	Remaining
0	46	45992
1	86	43251
2	129	42924
3	163	40782
4	187	37251
5	209	34771
6	231	32863
7	248	30810
8	262	28906
9	276	27387
10	293	26351
11	310	25530
12	324	24667
13	340	23981
14	357	23444
15	374	23019
16	389	22520
17	405	22098
18	421	21773
19	442	21700
20	481	22424
21	511	22731
22	539	22931
23	560	22789
24	579	22594
25	594	22283
26	614	22143
27	633	22001
28	650	21776
29	666	21555
30	681	21290
31	694	21007
32	709	20799
33	722	20520
34	739	20389
35	754	20215
36	776	20220
37	796	20161
38	845	20843
39	889	21356
40	918	21489
41	952	21716
42	977	21762
43	1004	21824
44	1024	21733
45	1039	21559
46	1054	21376
47	1070	21230
48	1085	21059
49	1101	20921
50	1117	20797
51	1133	20656
52	1147	20511
53	1163	20379
54	1180	20281
55	1195	20155
56	1210	20030
57	1225	19905
58	1239	19773
59	1255	19662
60	1273	19607
61	1293	19563
62	1309	19468
63	1323	19350
64	1338	19252
65	1353	19152
66	1367	19046
67	1383	18956
68	1400	18890
69	1443	19176
70	1483	19409
71	1510	19470
72	1537	19527
73	1563	19563
74	1583	19531
75	1603	19499
76	1618	19399
77	1629	19263
78	1651	19249
79	1667	19180
80	1682	19088
81	1701	19050
82	1719	18997
83	1734	18915
84	1750	18846
85	1766	18772
86	1781	18699
87	1811	18768
88	1859	19037
89	1881	19024
90	1907	19052
91	1929	19039
92	1952	19042
93	1998	19259
94	2065	19672
95	2125	20011
96	2148	20001
97	2174	20017
98	2194	19972
99	2217	19958
100	2238	19926
101	2252	19830
102	2271	19783
103	2294	19771
104	2314	19727
105	2329	19649
106	2343	19557
107	2357	19473
108	2411	19708
109	2455	19865
110	2513	20131
111	2560	20297
112	2587	20312
113	2610	20288
114	2635	20283
115	2658	20258
116	2677	20204
117	2692	20123
118	2708	20048
119	2720	19953
120	2733	19858
121	2745	19755
122	2760	19682
123	2773	19594
124	2791	19543
125	2807	19472
126	2824	19413
127	2839	19343
128	2859	19309
129	2876	19253
130	2891	19179
131	2906	19109
132	2920	19037
133	2935	18971
134	2951	18912
135	2966	18844
136	2980	18773
137	2993	18699
138	3011	18654
139	3029	18611
140	3044	18546
141	3066	18530
142	3089	18512
143	3105	18462
144	3122	18411
145	3138	18359
146	3151	18288
147	3166	18229
148	3186	18198
149	3203	18152
150	3219	18099
151	3236	18057
152	3251	18000
153	3267	17947
154	3281	17887
155	3297	17839
156	3311	17780
157	3326	17728
158	3342	17678
159	3356	17623
160	3370	17566
161	3385	17511
162	3398	17450
163	3411	17390
164	3425	17332
165	3439	17281
166	3454	17232
167	3470	17186
168	3484	17131
169	3498	17079
170	3512	17027
171	3525	16969
172	3540	16924
173	3556	16882
174	3572	16842
175	3591	16814
176	3614	16805
177	3629	16760
178	3643	16713
179	3659	16669
180	3672	16616
181	3685	16563
182	3699	16518
183	3715	16477
184	3730	16434
185	3745	16392
186	3761	16352
187	3775	16305
188	3789	16259
189	3801	16207
190	3815	16162
191	3830	16121
192	3846	16083
193	3861	16041
194	3875	15998
195	3889	15955
196	3903	15911
197	3918	15870
198	3936	15844
199	3955	15821
200	3970	15784
201	3984	15740
202	3998	15699
203	4017	15675
204	4030	15628
205	4043	15586
206	4062	15562
207	4076	15522
208	4091	15485
209	4107	15452
210	4122	15416
211	4136	15377
212	4150	15337
213	4165	15298
214	4178	15256
215	4191	15213
216	4205	15173
217	4219	15136
218	4234	15101
219	4249	15067
220	4263	15029
221	4280	15002
222	4299	14981
223	4315	14949
224	4335	14934
225	4356	14920
226	4375	14898
227	4393	14875
228	4411	14851
229	4428	14824
230	4446	14801
231	4464	14779
232	4484	14763
233	4503	14741
234	4522	14721
235	4541	14701
236	4558	14676
237	4573	14642
238	4589	14612
239	4608	14593
240	4627	14572
241	4643	14546
242	4658	14513
243	4672	14478
244	4687	14444
245	4701	14409
246	4714	14373
247	4727	14335
248	4743	14306
249	4759	14278
250	4774	14248
251	4789	14216
252	4803	14183
253	4818	14153
254	4833	14122
255	4847	14087
256	4860	14051
257	4873	14016
258	4888	13986
259	4904	13958
260	4920	13931
261	4934	13899
262	4951	13874
263	4966	13845
264	4980	13813
265	4997	13788
266	5015	13769
267	5031	13743
268	5046	13712
269	5061	13684
270	5076	13655
271	5091	13628
272	5105	13594
273	5117	13560
274	5131	13527
275	5146	13500
276	5162	13474
277	5177	13446
278	5191	13416
279	5206	13388
280	5222	13362
281	5237	13334
282	5251	13303
283	5263	13270
284	5278	13241
285	5293	13215
286	5308	13188
287	5322	13158
288	5337	13131
289	5352	13105
290	5366	13074
291	5379	13042
292	5392	13011
293	5408	12986
294	5424	12964
295	5439	12936
296	5453	12909
297	5469	12883
298	5484	12858
299	5499	12831
300	5514	12805
301	5534	12792
302	5550	12767
303	5568	12748
304	5585	12726
305	5605	12712
306	5620	12686
307	5637	12665
308	5653	12643
309	5671	12624
310	5689	12603
311	5705	12581
312	5721	12558
313	5743	12547
314	5761	12528
315	5778	12507
316	5795	12487
317	5817	12477
318	5834	12454
319	5849	12429
320	5864	12405
321	5881	12383
322	5900	12366
323	5914	12339
324	5929	12314
325	5945	12292
326	5960	12267
327	5976	12243
328	5993	12223
329	6014	12211
330	6029	12187
331	6046	12165
332	6060	12139
333	6076	12116
334	6091	12091
335	6109	12073
336	6123	12048
337	6145	12035
338	6165	12021
339	6183	12003
340	6200	11983
341	6220	11968
342	6240	11952
343	6257	11933
344	6274	11913
345	6290	11891
346	6306	11867
347	6323	11846
348	6337	11821
349	6352	11798
350	6366	11772
351	6382	11750
352	6399	11729
353	6415	11706
354	6430	11683
355	6446	11661
356	6464	11643
357	6481	11622
358	6496	11600
359	6513	11578
360	6529	11557
361	6547	11539
362	6563	11517
363	6578	11493
364	6595	11474
365	6618	11465
366	6640	11453
367	6658	11435
368	6675	11415
369	6692	11394
370	6706	11370
371	6723	11349
372	6740	11330
373	6754	11306
374	6771	11285
375	6788	11265
376	6804	11244
377	6818	11220
378	6835	11200
379	6854	11184
380	6868	11159
381	6888	11144
382	6905	11124
383	6922	11104
384	6939	11085
